sheet,cell,original,translation
体检3个产品,U18,尿液中核基质蛋白22（NMP）是一种膀胱癌早期诊断的标记物，可用于膀胱癌的筛查,
体检3个产品,Y18,阿尔茨海默相关神经丝蛋白（AD7C-NTP）检测,
体检3个产品,Z18,AD7C-NTP作为一种新型无创检查，在阿尔茨海默的疾病发展各个阶段对各种伴随的神经、精神障碍进行实时风险检测，为药物干预、临床跟踪提供数据支持，降低阿尔茨海默症及系列疾病发生的可能性。,
体检3个产品,K19,幽门螺杆菌检测,
体检3个产品,L19,碳13呼气试验。检测是否有幽门螺杆菌感染。幽门螺杆菌感染是慢性胃炎、消化性溃疡、胃癌等最重要的致病因素。,
体检3个产品,M19,"=_wpsfn.WPSAI.TRANSLATE(K19,""英文"")",
体检3个产品,N19,"=_wpsfn.WPSAI.TRANSLATE(L19,""英文"")",
体检3个产品,O19,幽门螺杆菌检测,
体检3个产品,P19,碳13呼气试验。检测是否有幽门螺杆菌感染。幽门螺杆菌感染是慢性胃炎、消化性溃疡、胃癌等最重要的致病因素。,
体检3个产品,Q19,"=_wpsfn.WPSAI.TRANSLATE(O19,""英文"")",
体检3个产品,R19,"=_wpsfn.WPSAI.TRANSLATE(P19,""英文"")",
体检3个产品,T19,阿尔茨海默相关神经丝蛋白（AD7C-NTP）检测,
体检3个产品,U19,AD7C-NTP作为一种新型无创检查，在阿尔茨海默的疾病发展各个阶段对各种伴随的神经、精神障碍进行实时风险检测，为药物干预、临床跟踪提供数据支持，降低阿尔茨海默症及系列疾病发生的可能性。,
体检3个产品,Y19,尿核基质蛋白22（NMP）检测,
体检3个产品,Z19,尿液中核基质蛋白22（NMP）是一种膀胱癌早期诊断的标记物，可用于膀胱癌的筛查,
体检3个产品,K20,骨密度检测,
体检3个产品,L20,双能X线吸收仪（DXA）测量骨密度是目前应用广、认可度高的骨密度测量方法，可用于骨质疏松症的诊断和骨折风险性预测。,
体检3个产品,M20,"=_wpsfn.WPSAI.TRANSLATE(K20,""英文"")",
体检3个产品,N20,"=_wpsfn.WPSAI.TRANSLATE(L20,""英文"")",
体检3个产品,O20,大便隐血定量,
体检3个产品,P20,筛查肉眼不可见的消化道出血（常见原因有消化道溃疡、恶性肿瘤等），定量试验相对于定性试验更为精确,
体检3个产品,Q20,"=_wpsfn.WPSAI.TRANSLATE(O20,""英文"")",
体检3个产品,R20,"=_wpsfn.WPSAI.TRANSLATE(P20,""英文"")",
体检3个产品,T20,心电图检查,
体检3个产品,U20,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,Y20,心电图检查,
体检3个产品,Z20,心电图可以用来判断各种心律失常，如：窦性心动过速，窦性心动过缓，心房扑动，心房房颤等,
体检3个产品,K21,放射检查（胸部CT）,
体检3个产品,L21,胸部CT平扫是目前肺癌筛查的推荐方法，适用于肺癌高风险人群筛查肺癌,
体检3个产品,M21,"=_wpsfn.WPSAI.TRANSLATE(K21,""英文"")",
体检3个产品,N21,"=_wpsfn.WPSAI.TRANSLATE(L21,""英文"")",
体检3个产品,O21,尿常规,
体检3个产品,P21,反映泌尿系统（肾脏等）疾病最基本的检查项目,
体检3个产品,Q21,"=_wpsfn.WPSAI.TRANSLATE(O21,""英文"")",
体检3个产品,R21,"=_wpsfn.WPSAI.TRANSLATE(P21,""英文"")",
体检3个产品,T21,彩色多普勒超声检查,
体检3个产品,U21,腹部彩超（男）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、前列腺。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,Y21,彩色多普勒超声检查,
体检3个产品,Z21,腹部彩超（女）：肝脏、胆囊、胰腺、脾脏、双肾、输尿管、膀胱、子宫、附件（卵巢、输卵管等）。Clinical Significance：探查腹部实质性脏器的异常超声改变，可筛查、诊断/辅助诊断占位性病变（肿瘤）、结石、囊肿等,
体检3个产品,AB21,"Abdominal彩超 (female): Liver, gallbladder, pancreas, spleen, both kidneys, ureters, bladder, uterus, and附件 (ovaries, fallopian tubes, etc.). Clinical Significance: Probes for abnormal ultrasonic changes in abdominal solid organs, can screen for and diagnose/assist in diagnosing space-occupying lesions (tumors), stones, cysts, etc.",
体检3个产品,K22,人体成分分析检测,
体检3个产品,L22,了解身体脂肪、蛋白质等分布状况及营养状态，主要测定人体脂肪的百分含量即脂肪占体重的比例，是判断肥胖程度、“正常体重”者发现“隐性肥胖”的重要指标,
体检3个产品,M22,"=_wpsfn.WPSAI.TRANSLATE(K22,""英文"")",
体检3个产品,N22,"=_wpsfn.WPSAI.TRANSLATE(L22,""英文"")",
体检3个产品,O22,骨密度检测,
体检3个产品,P22,双能X线吸收仪（DXA）测量骨密度是目前应用广、认可度高的骨密度测量方法，可用于骨质疏松症的诊断和骨折风险性预测。,
体检3个产品,Q22,"=_wpsfn.WPSAI.TRANSLATE(O22,""英文"")",
体检3个产品,R22,"=_wpsfn.WPSAI.TRANSLATE(P22,""英文"")",
体检3个产品,U22,甲状腺彩超。Clinical Significance：检查甲状腺的形态、大小等改变，筛查甲状腺结节等病变,
体检3个产品,Z22,乳腺彩超。检查乳腺常见病变，乳腺彩超也是女性适龄人群乳腺癌筛查推荐的检查手段之一,
体检3个产品,AB22,Breast彩超. Checks for common breast lesions and is one of the recommended screening methods for breast cancer in women of appropriate age.,
体检3个产品,K23,心理健康检测,
体检3个产品,L23,90项症状自评量表（SCL-90）、艾森克个性测验（EPQ）成人版、包含情绪、压力及睡眠等心身综合评估，实现慢病及心身疾病风险风险，全面了解健康状况，该项目对个体心身健康管理有着重要意义和作用。,
体检3个产品,M23,"=_wpsfn.WPSAI.TRANSLATE(K23,""英文"")",
体检3个产品,N23,"=_wpsfn.WPSAI.TRANSLATE(L23,""英文"")",
体检3个产品,O23,胸部CT,
体检3个产品,P23,胸部CT平扫是目前肺癌筛查的推荐方法，适用于肺癌高风险人群筛查肺癌,
体检3个产品,Q23,"=_wpsfn.WPSAI.TRANSLATE(O23,""英文"")",
体检3个产品,R23,"=_wpsfn.WPSAI.TRANSLATE(P23,""英文"")",
体检3个产品,U23,颈动脉彩超：颈动脉超声检查是体检人群心血管病风险筛查的重要手段，是评价全身动脉硬化的一个“窗口”。通过测量颈动脉内中膜厚度（IMT）和检测有无斑块形成，对动脉粥样硬化性疾病的早期诊断具有重要价值，对心血管疾病风险评估与预测也具有重要意义,
体检3个产品,Z23,甲状腺彩超。Clinical Significance：检查甲状腺的形态、大小等改变，筛查甲状腺结节等病变,
体检3个产品,AB23,"Thyroid彩超. Clinical Significance: Checks for changes in thyroid morphology and size, screening for thyroid nodules and other lesions.",
体检3个产品,K24,经颅超声多普勒检查,
体检3个产品,L24,用超声多普勒技术对脑动脉血管进行检查，对脑动脉狭窄、闭塞、痉挛等有一定的辅助诊断价值,
体检3个产品,M24,"=_wpsfn.WPSAI.TRANSLATE(K24,""英文"")",
体检3个产品,N24,"=_wpsfn.WPSAI.TRANSLATE(L24,""英文"")",
体检3个产品,O24,人体成分分析检测,
体检3个产品,P24,了解身体脂肪、蛋白质等分布状况及营养状态，主要测定人体脂肪的百分含量即脂肪占体重的比例，是判断肥胖程度、“正常体重”者发现“隐性肥胖”的重要指标,
体检3个产品,Q24,"=_wpsfn.WPSAI.TRANSLATE(O24,""英文"")",
体检3个产品,R24,"=_wpsfn.WPSAI.TRANSLATE(P24,""英文"")",
体检3个产品,U24,心脏彩色多普勒超声心动图。Clinical Significance：心脏彩超是检查心脏大血管结构、形态最常用的方法，是诊断先天性心脏病、心脏瓣膜病、心肌病等结构性心脏病的主要手段,
